timestep,x_smoothed_0,x_smoothed_1,P_smoothed_0_0,P_smoothed_0_1,P_smoothed_1_0,P_smoothed_1_1
159,-3.33395,2.91198,0.0780869,0,0,0.0780869
160,-3.40922,2.96836,0.0780869,0,0,0.0780869
161,-3.48678,3.04291,0.0780869,0,0,0.0780869
162,-3.62737,3.09718,0.0780869,0,0,0.0780869
163,-3.71035,3.17046,0.0780869,0,0,0.0780869
164,-3.75035,3.18581,0.0780869,0,0,0.0780869
165,-3.73824,3.25662,0.0780869,0,0,0.0780869
166,-3.73273,3.33227,0.0780869,0,0,0.0780869
167,-3.68137,3.40881,0.0780869,0,0,0.0780869
168,-3.62464,3.53262,0.0780869,0,0,0.0780869
169,-3.54102,3.6404,0.0780869,0,0,0.0780869
170,-3.60094,3.67828,0.0780869,0,0,0.0780869
171,-3.64556,3.67167,0.0780869,0,0,0.0780869
172,-3.73519,3.69749,0.0780869,0,0,0.0780869
173,-3.76757,3.69183,0.0780869,0,0,0.0780869
174,-3.9263,3.71668,0.0780869,0,0,0.0780869
175,-4.02292,3.74261,0.0780869,0,0,0.0780869
176,-4.04115,3.75484,0.0780869,0,0,0.0780869
177,-4.08585,3.84368,0.0780869,0,0,0.0780869
178,-4.19509,3.88453,0.078087,0,0,0.078087
179,-4.26789,3.90533,0.0780871,0,0,0.0780871
180,-4.24504,3.86562,0.0780872,0,0,0.0780872
181,-4.21094,3.86412,0.0780876,0,0,0.0780876
182,-4.26582,3.91652,0.0780882,0,0,0.0780882
183,-4.24305,3.9405,0.0780893,0,0,0.0780893
184,-4.17547,3.89379,0.0780914,0,0,0.0780914
185,-4.04916,3.92033,0.0780953,0,0,0.0780953
186,-3.85513,3.98884,0.0781027,0,0,0.0781027
187,-3.65172,4.04936,0.0781166,0,0,0.0781166
188,-3.48711,4.02371,0.0781427,0,0,0.0781427
189,-3.31245,3.95044,0.0781917,0,0,0.0781917
190,-3.14337,3.95269,0.0782836,0,0,0.0782836
191,-3.00907,3.96602,0.0784563,0,0,0.0784563
192,-3.02581,4.04848,0.0787803,0,0,0.0787803
193,-3.01947,4.21411,0.0793887,0,0,0.0793887
194,-2.9365,4.33447,0.0805309,0,0,0.0805309
195,-2.9217,4.42398,0.0826751,0,0,0.0826751
196,-2.91255,4.41553,0.0867005,0,0,0.0867005
197,-3.03678,4.40298,0.0942575,0,0,0.0942575
198,-3.06133,4.3155,0.108445,0,0,0.108445
199,-3.10597,4.28678,0.135078,0,0,0.135078
