timestep,x_predicted_0,x_predicted_1,P_predicted_0_0,P_predicted_0_1,P_predicted_1_0,P_predicted_1_1,x_updated_0,x_updated_1,innovation_0,innovation_1,S_0_0,S_0_1,S_1_0,S_1_1,P_updated_0_0,P_updated_0_1,P_updated_1_0,P_updated_1_1
172,-3.40344,3.60193,0.185078,0,0,0.185078,-3.6477,3.71278,-0.904163,0.410285,0.685078,0,0,0.685078,0.135078,0,0,0.135078
173,-3.6477,3.71278,0.185078,0,0,0.185078,-3.33876,3.62468,1.14359,-0.326108,0.685078,0,0,0.685078,0.135078,0,0,0.135078
174,-3.33876,3.62468,0.185078,0,0,0.185078,-3.66528,3.64663,-1.20865,0.0812582,0.685078,0,0,0.685078,0.135078,0,0,0.135078
175,-3.66528,3.64663,0.185078,0,0,0.185078,-3.97367,3.70958,-1.14154,0.233023,0.685078,0,0,0.685078,0.135078,0,0,0.135078
176,-3.97367,3.70958,0.185078,0,0,0.185078,-3.92038,3.51484,0.197257,-0.720859,0.685078,0,0,0.685078,0.135078,0,0,0.135078
177,-3.92038,3.51484,0.185078,0,0,0.185078,-3.79073,3.73333,0.47991,0.80876,0.685078,0,0,0.685078,0.135078,0,0,0.135078
178,-3.79073,3.73333,0.185078,0,0,0.185078,-3.99842,3.82833,-0.768777,0.351664,0.685078,0,0,0.685078,0.135078,0,0,0.135078
179,-3.99842,3.82833,0.185078,0,0,0.185078,-4.3296,4.01261,-1.22586,0.68212,0.685078,0,0,0.685078,0.135078,0,0,0.135078
180,-4.3296,4.01261,0.185078,0,0,0.185078,-4.33718,3.86968,-0.028084,-0.52908,0.685078,0,0,0.685078,0.135078,0,0,0.135078
181,-4.33718,3.86968,0.185078,0,0,0.185078,-4.06268,3.72255,1.0161,-0.544587,0.685078,0,0,0.685078,0.135078,0,0,0.135078
182,-4.06268,3.72255,0.185078,0,0,0.185078,-4.32733,3.85173,-0.979632,0.478168,0.685078,0,0,0.685078,0.135078,0,0,0.135078
183,-4.32733,3.85173,0.185078,0,0,0.185078,-4.42563,4.06668,-0.363848,0.795653,0.685078,0,0,0.685078,0.135078,0,0,0.135078
184,-4.42563,4.06668,0.185078,0,0,0.185078,-4.51668,3.82211,-0.337052,-0.905287,0.685078,0,0,0.685078,0.135078,0,0,0.135078
185,-4.51668,3.82211,0.185078,0,0,0.185078,-4.57335,3.73522,-0.209743,-0.32165,0.685078,0,0,0.685078,0.135078,0,0,0.135078
186,-4.57335,3.73522,0.185078,0,0,0.185078,-4.40467,3.82536,0.624373,0.333645,0.685078,0,0,0.685078,0.135078,0,0,0.135078
187,-4.40467,3.82536,0.185078,0,0,0.185078,-4.09643,4.11865,1.14095,1.08565,0.685078,0,0,0.685078,0.135078,0,0,0.135078
188,-4.09643,4.11865,0.185078,0,0,0.185078,-3.95896,4.22165,0.508862,0.38126,0.685078,0,0,0.685078,0.135078,0,0,0.135078
189,-3.95896,4.22165,0.185078,0,0,0.185078,-3.76921,3.94438,0.702351,-1.02634,0.685078,0,0,0.685078,0.135078,0,0,0.135078
190,-3.76921,3.94438,0.185078,0,0,0.185078,-3.50621,3.91666,0.973523,-0.102606,0.685078,0,0,0.685078,0.135078,0,0,0.135078
191,-3.50621,3.91666,0.185078,0,0,0.185078,-2.96384,3.74325,2.0076,-0.641873,0.685078,0,0,0.685078,0.135078,0,0,0.135078
192,-2.96384,3.74325,0.185078,0,0,0.185078,-3.04292,3.60104,-0.292717,-0.526412,0.685078,0,0,0.685078,0.135078,0,0,0.135078
193,-3.04292,3.60104,0.185078,0,0,0.185078,-3.24363,3.88893,-0.742907,1.06562,0.685078,0,0,0.685078,0.135078,0,0,0.135078
194,-3.24363,3.88893,0.185078,0,0,0.185078,-2.97648,4.09266,0.988862,0.754146,0.685078,0,0,0.685078,0.135078,0,0,0.135078
195,-2.97648,4.09266,0.185078,0,0,0.185078,-2.94643,4.44682,0.111212,1.31092,0.685078,0,0,0.685078,0.135078,0,0,0.135078
196,-2.94643,4.44682,0.185078,0,0,0.185078,-2.57694,4.44943,1.36771,0.00966501,0.685078,0,0,0.685078,0.135078,0,0,0.135078
197,-2.57694,4.44943,0.185078,0,0,0.185078,-2.97046,4.63934,-1.45666,0.702967,0.685078,0,0,0.685078,0.135078,0,0,0.135078
198,-2.97046,4.63934,0.185078,0,0,0.185078,-2.94072,4.39308,0.11008,-0.911551,0.685078,0,0,0.685078,0.135078,0,0,0.135078
199,-2.94072,4.39308,0.185078,0,0,0.185078,-3.10597,4.28678,-0.61166,-0.393467,0.685078,0,0,0.685078,0.135078,0,0,0.135078
