timestep,x_predicted_0,x_predicted_1,P_predicted_0_0,P_predicted_0_1,P_predicted_1_0,P_predicted_1_1,x_updated_0,x_updated_1,innovation_0,innovation_1,S_0_0,S_0_1,S_1_0,S_1_1,P_updated_0_0,P_updated_0_1,P_updated_1_0,P_updated_1_1
105,-4.54518,2.3432,0.185078,0,0,0.185078,-4.4119,2.33213,0.493361,-0.0409527,0.685078,0,0,0.685078,0.135078,0,0,0.135078
106,-4.4119,2.33213,0.185078,0,0,0.185078,-4.45185,2.29679,-0.147882,-0.130831,0.685078,0,0,0.685078,0.135078,0,0,0.135078
107,-4.45185,2.29679,0.185078,0,0,0.185078,-4.36063,1.99082,0.337665,-1.13255,0.685078,0,0,0.685078,0.135078,0,0,0.135078
108,-4.36063,1.99082,0.185078,0,0,0.185078,-4.64671,2.02571,-1.05893,0.12915,0.685078,0,0,0.685078,0.135078,0,0,0.135078
109,-4.64671,2.02571,0.185078,0,0,0.185078,-4.62179,2.16788,0.092223,0.526247,0.685078,0,0,0.685078,0.135078,0,0,0.135078
110,-4.62179,2.16788,0.185078,0,0,0.185078,-4.73052,2.48553,-0.402473,1.17578,0.685078,0,0,0.685078,0.135078,0,0,0.135078
111,-4.73052,2.48553,0.185078,0,0,0.185078,-4.76023,2.26634,-0.109951,-0.811334,0.685078,0,0,0.685078,0.135078,0,0,0.135078
112,-4.76023,2.26634,0.185078,0,0,0.185078,-5.04351,2.16951,-1.04858,-0.358411,0.685078,0,0,0.685078,0.135078,0,0,0.135078
113,-5.04351,2.16951,0.185078,0,0,0.185078,-4.77542,1.5294,0.992321,-2.3694,0.685078,0,0,0.685078,0.135078,0,0,0.135078
114,-4.77542,1.5294,0.185078,0,0,0.185078,-4.94841,1.8371,-0.64033,1.13898,0.685078,0,0,0.685078,0.135078,0,0,0.135078
115,-4.94841,1.8371,0.185078,0,0,0.185078,-5.26588,2.02205,-1.17514,0.684597,0.685078,0,0,0.685078,0.135078,0,0,0.135078
116,-5.26588,2.02205,0.185078,0,0,0.185078,-5.01347,2.07005,0.934332,0.177654,0.685078,0,0,0.685078,0.135078,0,0,0.135078
117,-5.01347,2.07005,0.185078,0,0,0.185078,-5.29556,1.79429,-1.0442,-1.02074,0.685078,0,0,0.685078,0.135078,0,0,0.135078
118,-5.29556,1.79429,0.185078,0,0,0.185078,-5.17947,1.58924,0.42972,-0.759,0.685078,0,0,0.685078,0.135078,0,0,0.135078
119,-5.17947,1.58924,0.185078,0,0,0.185078,-4.76217,1.80621,1.54466,0.803115,0.685078,0,0,0.685078,0.135078,0,0,0.135078
120,-4.76217,1.80621,0.185078,0,0,0.185078,-4.57415,2.245,0.695978,1.62423,0.685078,0,0,0.685078,0.135078,0,0,0.135078
121,-4.57415,2.245,0.185078,0,0,0.185078,-4.60248,2.57045,-0.104861,1.20466,0.685078,0,0,0.685078,0.135078,0,0,0.135078
122,-4.60248,2.57045,0.185078,0,0,0.185078,-4.55165,2.65188,0.188152,0.30144,0.685078,0,0,0.685078,0.135078,0,0,0.135078
123,-4.55165,2.65188,0.185078,0,0,0.185078,-4.78736,2.63099,-0.872514,-0.0773291,0.685078,0,0,0.685078,0.135078,0,0,0.135078
124,-4.78736,2.63099,0.185078,0,0,0.185078,-4.72763,2.58281,0.221123,-0.178341,0.685078,0,0,0.685078,0.135078,0,0,0.135078
125,-4.72763,2.58281,0.185078,0,0,0.185078,-4.90143,2.36132,-0.64334,-0.819875,0.685078,0,0,0.685078,0.135078,0,0,0.135078
126,-4.90143,2.36132,0.185078,0,0,0.185078,-4.73486,2.76228,0.616552,1.48418,0.685078,0,0,0.685078,0.135078,0,0,0.135078
127,-4.73486,2.76228,0.185078,0,0,0.185078,-4.9372,2.77294,-0.748953,0.0394654,0.685078,0,0,0.685078,0.135078,0,0,0.135078
128,-4.9372,2.77294,0.185078,0,0,0.185078,-5.30591,2.75427,-1.36482,-0.069122,0.685078,0,0,0.685078,0.135078,0,0,0.135078
129,-5.30591,2.75427,0.185078,0,0,0.185078,-5.22852,2.73992,0.286452,-0.0531089,0.685078,0,0,0.685078,0.135078,0,0,0.135078
130,-5.22852,2.73992,0.185078,0,0,0.185078,-5.67892,2.88122,-1.66718,0.523038,0.685078,0,0,0.685078,0.135078,0,0,0.135078
131,-5.67892,2.88122,0.185078,0,0,0.185078,-5.82686,3.5121,-0.547591,2.33523,0.685078,0,0,0.685078,0.135078,0,0,0.135078
132,-5.82686,3.5121,0.185078,0,0,0.185078,-5.90431,3.57558,-0.286694,0.234985,0.685078,0,0,0.685078,0.135078,0,0,0.135078
133,-5.90431,3.57558,0.185078,0,0,0.185078,-5.88773,3.62681,0.0613694,0.189631,0.685078,0,0,0.685078,0.135078,0,0,0.135078
134,-5.88773,3.62681,0.185078,0,0,0.185078,-5.88063,3.52002,0.0262973,-0.395282,0.685078,0,0,0.685078,0.135078,0,0,0.135078
135,-5.88063,3.52002,0.185078,0,0,0.185078,-6.07804,3.60209,-0.730724,0.303765,0.685078,0,0,0.685078,0.135078,0,0,0.135078
136,-6.07804,3.60209,0.185078,0,0,0.185078,-6.00261,3.54726,0.279203,-0.20294,0.685078,0,0,0.685078,0.135078,0,0,0.135078
137,-6.00261,3.54726,0.185078,0,0,0.185078,-5.69545,3.58615,1.13697,0.143956,0.685078,0,0,0.685078,0.135078,0,0,0.135078
138,-5.69545,3.58615,0.185078,0,0,0.185078,-5.77699,3.61437,-0.301833,0.104461,0.685078,0,0,0.685078,0.135078,0,0,0.135078
139,-5.77699,3.61437,0.185078,0,0,0.185078,-5.94066,3.89531,-0.605842,1.03989,0.685078,0,0,0.685078,0.135078,0,0,0.135078
140,-5.94066,3.89531,0.185078,0,0,0.185078,-6.02436,3.74195,-0.309823,-0.567672,0.685078,0,0,0.685078,0.135078,0,0,0.135078
141,-6.02436,3.74195,0.185078,0,0,0.185078,-5.75197,3.69506,1.00829,-0.17354,0.685078,0,0,0.685078,0.135078,0,0,0.135078
