timestep,x_predicted_0,P_predicted_0_0,x_updated_0,innovation_0,S_0_0,P_updated_0_0
294,-3.60883,0.185078,-3.33544,1.01198,0.685078,0.135078
295,-3.33544,0.185078,-3.79938,-1.7173,0.685078,0.135078
296,-3.79938,0.185078,-3.96459,-0.611556,0.685078,0.135078
297,-3.96459,0.185078,-3.69326,1.00435,0.685078,0.135078
298,-3.69326,0.185078,-3.24165,1.67167,0.685078,0.135078
299,-3.24165,0.185078,-3.47398,-0.860009,0.685078,0.135078
300,-3.47398,0.185078,-3.39864,0.278903,0.685078,0.135078
301,-3.39864,0.185078,-3.48383,-0.315336,0.685078,0.135078
302,-3.48383,0.185078,-3.38218,0.376247,0.685078,0.135078
303,-3.38218,0.185078,-3.18852,0.716832,0.685078,0.135078
304,-3.18852,0.185078,-3.25924,-0.261745,0.685078,0.135078
305,-3.25924,0.185078,-3.49086,-0.857375,0.685078,0.135078
306,-3.49086,0.185078,-3.11818,1.37949,0.685078,0.135078
307,-3.11818,0.185078,-3.249,-0.484234,0.685078,0.135078
308,-3.249,0.185078,-3.18038,0.254006,0.685078,0.135078
309,-3.18038,0.185078,-3.0203,0.59254,0.685078,0.135078
310,-3.0203,0.185078,-3.15602,-0.502362,0.685078,0.135078
311,-3.15602,0.185078,-3.04283,0.418988,0.685078,0.135078
312,-3.04283,0.185078,-3.25255,-0.7763,0.685078,0.135078
313,-3.25255,0.185078,-3.27072,-0.0672533,0.685078,0.135078
314,-3.27072,0.185078,-3.04769,0.82555,0.685078,0.135078
315,-3.04769,0.185078,-3.05412,-0.0238128,0.685078,0.135078
316,-3.05412,0.185078,-3.31972,-0.98312,0.685078,0.135078
317,-3.31972,0.185078,-3.09982,0.813965,0.685078,0.135078
318,-3.09982,0.185078,-2.87046,0.849009,0.685078,0.135078
319,-2.87046,0.185078,-2.84977,0.0765912,0.685078,0.135078
320,-2.84977,0.185078,-2.98355,-0.49522,0.685078,0.135078
321,-2.98355,0.185078,-2.87118,0.41597,0.685078,0.135078
322,-2.87118,0.185078,-2.89458,-0.0866173,0.685078,0.135078
323,-2.89458,0.185078,-2.51685,1.39816,0.685078,0.135078
324,-2.51685,0.185078,-2.54239,-0.0945412,0.685078,0.135078
325,-2.54239,0.185078,-2.4021,0.519316,0.685078,0.135078
326,-2.4021,0.185078,-2.36675,0.13085,0.685078,0.135078
327,-2.36675,0.185078,-2.46148,-0.350656,0.685078,0.135078
328,-2.46148,0.185078,-2.68451,-0.82555,0.685078,0.135078
329,-2.68451,0.185078,-2.54645,0.511016,0.685078,0.135078
330,-2.54645,0.185078,-2.45714,0.330611,0.685078,0.135078
331,-2.45714,0.185078,-2.31367,0.531036,0.685078,0.135078
332,-2.31367,0.185078,-2.34986,-0.133952,0.685078,0.135078
333,-2.34986,0.185078,-2.6094,-0.960683,0.685078,0.135078
334,-2.6094,0.185078,-2.76768,-0.585883,0.685078,0.135078
335,-2.76768,0.185078,-2.79206,-0.0902676,0.685078,0.135078
336,-2.79206,0.185078,-2.84753,-0.205303,0.685078,0.135078
337,-2.84753,0.185078,-2.86035,-0.0474708,0.685078,0.135078
338,-2.86035,0.185078,-2.45719,1.49233,0.685078,0.135078
339,-2.45719,0.185078,-2.63705,-0.665757,0.685078,0.135078
340,-2.63705,0.185078,-2.60081,0.134143,0.685078,0.135078
341,-2.60081,0.185078,-2.95945,-1.32755,0.685078,0.135078
342,-2.95945,0.185078,-2.86028,0.367107,0.685078,0.135078
343,-2.86028,0.185078,-2.51588,1.27481,0.685078,0.135078
344,-2.51588,0.185078,-2.33313,0.676466,0.685078,0.135078
345,-2.33313,0.185078,-2.755,-1.5616,0.685078,0.135078
346,-2.755,0.185078,-3.25307,-1.84364,0.685078,0.135078
347,-3.25307,0.185078,-2.8169,1.61454,0.685078,0.135078
348,-2.8169,0.185078,-3.36177,-2.01689,0.685078,0.135078
349,-3.36177,0.185078,-3.38207,-0.0751227,0.685078,0.135078
350,-3.38207,0.185078,-3.06229,1.18367,0.685078,0.135078
351,-3.06229,0.185078,-3.00394,0.216007,0.685078,0.135078
352,-3.00394,0.185078,-2.58682,1.54398,0.685078,0.135078
353,-2.58682,0.185078,-2.89532,-1.14194,0.685078,0.135078
354,-2.89532,0.185078,-2.60607,1.07069,0.685078,0.135078
355,-2.60607,0.185078,-2.34677,0.959809,0.685078,0.135078
356,-2.34677,0.185078,-2.05313,1.08694,0.685078,0.135078
357,-2.05313,0.185078,-2.14516,-0.340682,0.685078,0.135078
358,-2.14516,0.185078,-2.09448,0.187614,0.685078,0.135078
359,-2.09448,0.185078,-2.00568,0.328687,0.685078,0.135078
360,-2.00568,0.185078,-1.95637,0.182526,0.685078,0.135078
361,-1.95637,0.185078,-1.75461,0.746849,0.685078,0.135078
362,-1.75461,0.185078,-1.7303,0.0899676,0.685078,0.135078
363,-1.7303,0.185078,-1.85782,-0.472021,0.685078,0.135078
364,-1.85782,0.185078,-2.04281,-0.684762,0.685078,0.135078
365,-2.04281,0.185078,-2.10172,-0.218036,0.685078,0.135078
366,-2.10172,0.185078,-1.91069,0.707116,0.685078,0.135078
367,-1.91069,0.185078,-1.99998,-0.330548,0.685078,0.135078
368,-1.99998,0.185078,-2.04469,-0.165493,0.685078,0.135078
369,-2.04469,0.185078,-1.83518,0.775532,0.685078,0.135078
370,-1.83518,0.185078,-1.68034,0.57313,0.685078,0.135078
371,-1.68034,0.185078,-1.419,0.967394,0.685078,0.135078
372,-1.419,0.185078,-1.37925,0.147125,0.685078,0.135078
373,-1.37925,0.185078,-1.42305,-0.162141,0.685078,0.135078
374,-1.42305,0.185078,-1.53617,-0.418706,0.685078,0.135078
375,-1.53617,0.185078,-1.26555,1.00171,0.685078,0.135078
376,-1.26555,0.185078,-1.47414,-0.7721,0.685078,0.135078
377,-1.47414,0.185078,-1.59379,-0.442882,0.685078,0.135078
378,-1.59379,0.185078,-1.14579,1.6583,0.685078,0.135078
379,-1.14579,0.185078,-1.01954,0.467308,0.685078,0.135078
380,-1.01954,0.185078,-1.17685,-0.582305,0.685078,0.135078
381,-1.17685,0.185078,-1.57719,-1.48189,0.685078,0.135078
382,-1.57719,0.185078,-1.20267,1.38633,0.685078,0.135078
383,-1.20267,0.185078,-0.887519,1.16654,0.685078,0.135078
384,-0.887519,0.185078,-1.18561,-1.1034,0.685078,0.135078
385,-1.18561,0.185078,-0.999666,0.688284,0.685078,0.135078
386,-0.999666,0.185078,-1.01804,-0.0680026,0.685078,0.135078
387,-1.01804,0.185078,-0.898189,0.443623,0.685078,0.135078
388,-0.898189,0.185078,-1.22041,-1.19273,0.685078,0.135078
389,-1.22041,0.185078,-0.995929,0.830944,0.685078,0.135078
390,-0.995929,0.185078,-1.12312,-0.470806,0.685078,0.135078
391,-1.12312,0.185078,-0.968155,0.573615,0.685078,0.135078
392,-0.968155,0.185078,-0.75038,0.806106,0.685078,0.135078
393,-0.75038,0.185078,-0.341952,1.51182,0.685078,0.135078
394,-0.341952,0.185078,-0.272034,0.258806,0.685078,0.135078
395,-0.272034,0.185078,-0.17182,0.370948,0.685078,0.135078
396,-0.17182,0.185078,-0.212479,-0.150502,0.685078,0.135078
397,-0.212479,0.185078,-0.32597,-0.420092,0.685078,0.135078
398,-0.32597,0.185078,-0.447264,-0.448978,0.685078,0.135078
399,-0.447264,0.185078,-0.356754,0.335028,0.685078,0.135078
400,-0.356754,0.185078,-0.557312,-0.742379,0.685078,0.135078
