timestep,x_smoothed_0,P_smoothed_0_0
406,0.47724,0.0780869
407,0.434229,0.0780869
408,0.410527,0.0780869
409,0.419035,0.0780869
410,0.327292,0.0780869
411,0.330505,0.0780869
412,0.208298,0.0780869
413,0.0939422,0.0780869
414,-0.00281565,0.0780869
415,-0.0754081,0.0780869
416,-0.0401559,0.0780869
417,-0.0182143,0.0780869
418,0.00257603,0.0780869
419,0.102492,0.0780869
420,0.122574,0.0780869
421,0.138903,0.0780869
422,0.0635028,0.0780869
423,0.00963129,0.0780869
424,-0.0978722,0.0780869
425,-0.264156,0.0780869
426,-0.363185,0.0780869
427,-0.366813,0.0780869
428,-0.329784,0.0780869
429,-0.179195,0.0780869
430,-0.0768341,0.0780869
431,0.0377984,0.0780869
432,0.140056,0.0780869
433,0.236149,0.0780869
434,0.120622,0.0780869
435,0.145851,0.0780869
436,0.257909,0.0780869
437,0.236651,0.0780869
438,0.254226,0.0780869
439,0.282774,0.0780869
440,0.282484,0.0780869
441,0.359381,0.0780869
442,0.496432,0.0780869
443,0.675457,0.0780869
444,0.700666,0.0780869
445,0.746909,0.0780869
446,0.779266,0.0780869
447,0.817469,0.0780869
448,0.828453,0.0780869
449,0.873393,0.0780869
450,0.979453,0.0780869
451,1.12406,0.0780869
452,1.12098,0.0780869
453,1.10764,0.0780869
454,1.03882,0.0780869
455,1.06476,0.0780869
456,1.14098,0.0780869
457,1.17134,0.0780869
458,1.14164,0.0780869
459,1.12766,0.0780869
460,1.13173,0.0780869
461,1.10646,0.0780869
462,1.11202,0.0780869
463,1.1662,0.0780869
464,1.2411,0.0780869
465,1.26438,0.0780869
466,1.25865,0.0780869
467,1.29496,0.0780869
468,1.35109,0.0780869
469,1.45461,0.0780869
470,1.56406,0.0780869
471,1.58163,0.0780869
472,1.56603,0.0780869
473,1.59092,0.0780869
474,1.5421,0.0780869
475,1.57939,0.0780869
476,1.54164,0.0780869
477,1.43712,0.0780869
478,1.33818,0.0780869
479,1.27065,0.0780869
480,1.28536,0.0780869
481,1.2831,0.0780869
482,1.26618,0.0780869
483,1.22283,0.0780869
484,1.13806,0.0780869
485,1.0061,0.0780869
486,0.960079,0.0780869
487,0.920209,0.0780869
488,0.854911,0.0780869
489,0.777716,0.0780869
490,0.809349,0.0780869
491,0.856754,0.0780869
492,0.764088,0.0780869
493,0.763876,0.0780869
494,0.916681,0.0780869
495,1.05469,0.0780869
496,1.1523,0.0780869
497,1.28057,0.0780869
498,1.40059,0.0780869
499,1.44586,0.0780869
500,1.43003,0.0780869
501,1.36553,0.0780869
502,1.39031,0.0780869
503,1.39589,0.0780869
504,1.39933,0.0780869
505,1.46756,0.0780869
506,1.42297,0.0780869
507,1.39844,0.0780869
508,1.38649,0.0780869
509,1.36338,0.0780869
510,1.30954,0.0780869
511,1.21905,0.0780869
512,1.1209,0.0780869
513,1.01408,0.0780869
514,0.950178,0.0780869
515,0.907869,0.0780869
516,0.816407,0.0780869
517,0.68727,0.0780869
518,0.542702,0.0780869
519,0.581971,0.0780869
520,0.612298,0.0780869
521,0.621378,0.0780869
522,0.722305,0.0780869
523,0.816424,0.0780869
524,0.861143,0.0780869
525,0.864414,0.0780869
526,0.885576,0.0780869
527,0.825464,0.0780869
528,0.901264,0.0780869
529,1.01821,0.0780869
530,1.14239,0.0780869
531,1.26025,0.0780869
532,1.31381,0.0780869
533,1.3885,0.0780869
534,1.3622,0.0780869
535,1.44581,0.0780869
536,1.46266,0.0780869
537,1.4102,0.0780869
538,1.36839,0.0780869
539,1.29666,0.0780869
540,1.15522,0.0780869
541,1.09416,0.0780869
542,1.02375,0.0780869
543,0.971369,0.0780869
544,0.898087,0.0780869
545,0.958199,0.0780869
546,0.993102,0.0780869
547,1.01553,0.0780869
548,1.10952,0.0780869
549,1.17986,0.0780869
550,1.25622,0.0780869
551,1.30788,0.0780869
552,1.41742,0.0780869
553,1.43147,0.0780869
554,1.42507,0.0780869
555,1.38656,0.0780869
556,1.24421,0.0780869
557,1.11658,0.0780869
558,1.04188,0.0780869
559,1.00125,0.0780869
560,0.994754,0.0780869
561,0.918228,0.0780869
562,0.85917,0.0780869
563,0.869036,0.0780869
564,0.910339,0.0780869
565,0.784401,0.0780869
566,0.75603,0.0780869
567,0.792322,0.0780869
568,0.859529,0.0780869
569,0.988592,0.0780869
570,1.11395,0.0780869
571,1.22595,0.0780869
572,1.24347,0.0780869
573,1.27066,0.0780869
574,1.2721,0.0780869
575,1.35029,0.0780869
576,1.48185,0.0780869
577,1.52017,0.0780869
578,1.53819,0.0780869
579,1.48229,0.0780869
580,1.549,0.0780869
581,1.57095,0.0780869
582,1.58471,0.0780869
583,1.65504,0.0780869
584,1.70361,0.0780869
585,1.74866,0.0780869
586,1.73896,0.0780869
587,1.69842,0.0780869
588,1.66187,0.0780869
589,1.67632,0.0780869
590,1.62813,0.0780869
591,1.72323,0.0780869
592,1.78436,0.0780869
593,1.84034,0.0780869
594,1.83604,0.0780869
595,1.798,0.0780869
596,1.82184,0.0780869
597,1.81273,0.0780869
598,1.84404,0.0780869
599,1.79479,0.0780869
600,1.68792,0.0780869
601,1.57957,0.0780869
602,1.4571,0.0780869
603,1.36121,0.0780869
604,1.32295,0.0780869
605,1.38834,0.0780869
606,1.51154,0.0780869
607,1.61352,0.0780869
608,1.67103,0.0780869
609,1.6957,0.0780869
610,1.66762,0.0780869
611,1.70883,0.0780869
612,1.74852,0.0780869
613,1.73249,0.0780869
614,1.7321,0.0780869
615,1.67626,0.0780869
616,1.69314,0.0780869
617,1.64086,0.0780869
618,1.58172,0.0780869
619,1.51707,0.0780869
620,1.52439,0.0780869
621,1.54671,0.0780869
622,1.65665,0.0780869
623,1.83436,0.0780869
624,1.89437,0.0780869
625,1.97645,0.0780869
626,2.03057,0.0780869
627,2.09985,0.0780869
628,2.12694,0.0780869
629,2.01229,0.0780869
630,2.00991,0.0780869
631,1.94182,0.0780869
632,1.86599,0.0780869
633,1.81534,0.0780869
634,1.86311,0.0780869
635,1.91705,0.0780869
636,1.97976,0.0780869
637,2.07571,0.0780869
638,2.11399,0.0780869
639,2.09064,0.0780869
640,2.06245,0.0780869
641,2.0331,0.0780869
642,1.99968,0.0780869
643,2.10514,0.0780869
644,2.27783,0.0780869
645,2.49461,0.0780869
646,2.70897,0.0780869
647,2.84966,0.0780869
648,2.90182,0.0780869
649,2.81994,0.0780869
650,2.68931,0.0780869
651,2.54226,0.0780869
652,2.47065,0.0780869
653,2.4926,0.0780869
654,2.58429,0.0780869
655,2.66129,0.0780869
656,2.72555,0.0780869
657,2.65558,0.0780869
658,2.50964,0.0780869
659,2.51475,0.0780869
660,2.56022,0.0780869
661,2.67582,0.0780869
662,2.91745,0.0780869
663,3.03203,0.0780869
664,3.03635,0.0780869
665,3.04073,0.0780869
666,3.07029,0.0780869
667,3.11989,0.0780869
668,3.09956,0.0780869
669,3.09677,0.0780869
670,3.17566,0.0780869
671,3.1853,0.0780869
672,3.15481,0.0780869
673,3.12627,0.0780869
674,3.08523,0.0780869
675,3.20613,0.0780869
676,3.29502,0.0780869
677,3.30177,0.0780869
678,3.35423,0.0780869
679,3.44397,0.0780869
680,3.58035,0.0780869
681,3.75055,0.0780869
682,4.0153,0.0780869
683,4.16439,0.0780869
684,4.23325,0.0780869
685,4.3072,0.0780869
686,4.331,0.0780869
687,4.38521,0.0780869
688,4.39875,0.0780869
689,4.35753,0.0780869
690,4.29568,0.0780869
691,4.35369,0.0780869
692,4.38702,0.0780869
693,4.42865,0.0780869
694,4.43144,0.0780869
695,4.42058,0.0780869
696,4.41737,0.0780869
697,4.45325,0.0780869
698,4.51736,0.0780869
699,4.556,0.0780869
700,4.57536,0.0780869
701,4.55444,0.0780869
702,4.52279,0.0780869
703,4.4678,0.0780869
704,4.57894,0.0780869
705,4.64395,0.0780869
706,4.65184,0.0780869
707,4.72929,0.0780869
708,4.75182,0.0780869
709,4.75245,0.0780869
710,4.69169,0.0780869
711,4.61501,0.0780869
712,4.48876,0.0780869
713,4.4024,0.0780869
714,4.338,0.0780869
715,4.34367,0.0780869
716,4.26644,0.0780869
717,4.28929,0.0780869
718,4.38985,0.0780869
719,4.41328,0.0780869
720,4.38915,0.0780869
721,4.3476,0.0780869
722,4.29849,0.0780869
723,4.29146,0.0780869
724,4.28253,0.0780869
725,4.24942,0.0780869
726,4.27367,0.0780869
727,4.27871,0.0780869
728,4.21834,0.0780869
729,4.17581,0.0780869
730,4.1246,0.0780869
731,3.9708,0.0780869
732,3.87709,0.0780869
733,3.78232,0.0780869
734,3.7466,0.0780869
735,3.64425,0.0780869
736,3.47002,0.0780869
737,3.3136,0.0780869
738,3.23764,0.0780869
739,3.0921,0.0780869
740,2.97851,0.0780869
741,2.93639,0.0780869
742,2.91884,0.0780869
743,2.9321,0.0780869
744,2.87948,0.0780869
745,2.86808,0.0780869
746,2.86751,0.0780869
747,2.91103,0.0780869
748,2.9499,0.0780869
749,3.00463,0.0780869
750,3.00127,0.0780869
751,3.05824,0.0780869
752,3.09086,0.0780869
753,3.0793,0.0780869
754,3.08187,0.0780869
755,2.95335,0.0780869
756,2.87551,0.0780869
757,2.87987,0.0780869
758,2.90835,0.0780869
759,2.88111,0.0780869
760,2.88957,0.0780869
761,2.80537,0.0780869
762,2.7496,0.0780869
763,2.72211,0.0780869
764,2.73098,0.0780869
765,2.69019,0.0780869
766,2.67257,0.0780869
767,2.67046,0.0780869
768,2.72898,0.0780869
769,2.81492,0.0780869
770,2.88184,0.0780869
771,2.96993,0.0780869
772,2.93123,0.0780869
